                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7854,                 5.2494,                 2.9632,                 3.6254,                 0.0587,                   0.24,                0.04195,                0.01264,                0.02491,                0.18286,                0.00975,                0.00219,                 2.7235,                 5.5988,                 5.7908,                 4.7835,               0.070139,              0.0033179,              0.0033179
                      2,                 2.4826,                 1.3679,                 2.4598,                 3.0986,                0.04548,                0.09286,                0.01463,                0.00361,                0.00232,                0.16429,                0.00135,                 0.0002,                 2.7179,                 5.5349,                 4.8437,                 5.1341,                0.03948,              0.0059928,              0.0059928
                      3,                 2.4091,                  1.224,                 2.4329,                 3.0053,                0.02409,                0.09286,                 0.0162,                 0.0041,                0.03402,                0.11143,                0.01113,                 0.0022,                 3.6124,                 2.8999,                 3.1629,                 9.4281,              0.0081619,              0.0080076,              0.0080076
                      4,                 2.3613,                  1.167,                 2.3044,                 2.9043,                0.00851,                0.75714,                 0.0167,                0.00474,                0.00054,                0.13143,                0.00031,                  6e-05,                 2.7627,                 116.04,                 190.87,                 7.3723,                0.00703,                0.00703,                0.00703
                      5,                 2.1827,                 1.1023,                  2.021,                 2.7454,                0.11901,                0.43286,                0.10383,                0.02348,                0.26331,                0.41571,                0.24997,                 0.0871,                  3.565,                 1.2755,                 7.7194,                 22.857,                0.00703,                0.00703,                0.00703
                      6,                 1.9452,                0.96596,                 1.8587,                 2.5012,                 0.1318,                0.35571,                0.14849,                  0.033,                0.18828,                0.48143,                0.27941,                0.09444,                 3.0314,                 1.6075,                 3.6035,                 13.614,                0.00604,                0.00604,                0.00604
                      7,                 1.7783,                0.92737,                  1.788,                 2.2764,                0.19841,                0.67716,                0.18339,                  0.076,                0.23216,                   0.69,                0.21693,                0.10193,                 2.0341,                0.94672,                 7.4363,                 2.5843,                0.00505,                0.00505,                0.00505
                      8,                 1.7072,                0.89452,                 1.7533,                 2.1955,                0.34727,                0.57687,                0.39105,                  0.161,                0.38618,                   0.62,                0.44519,                 0.2332,                 2.0939,                0.88589,                 2.2122,                 2.6852,                0.00406,                0.00406,                0.00406
                      9,                 1.6547,                0.83569,                 1.6743,                 2.1451,                0.46237,                0.70571,                0.53125,                0.23869,                0.49242,                0.74286,                0.58576,                0.34942,                 1.7863,                0.78267,                 1.6676,                 2.5398,                0.00307,                0.00307,                0.00307
                     10,                 1.6191,                0.80569,                 1.6302,                  2.099,                0.10444,                0.64286,                0.08729,                0.02669,                0.12852,                   0.61,                 0.1157,                0.03549,                 2.5082,                0.95793,                   8.16,                 3.0285,                0.00208,                0.00208,                0.00208
