                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97282,                0.97151,                 1.9438,                 1.2918,                0.77422,                0.78571,                0.76174,                0.59077,                0.77644,                0.78857,                0.76174,                0.53534,                 0.8276,                0.59388,                 1.3522,                 1.0745,               0.070139,              0.0033179,              0.0033179
                      2,                 0.8596,                0.61926,                 1.1334,                 1.1676,                0.75632,                0.75714,                0.77108,                0.52742,                0.77532,                   0.79,                 0.7852,                0.52242,                 1.0245,                0.55531,                 1.2791,                 1.1846,                0.03948,              0.0059928,              0.0059928
                      3,                0.88438,                0.62318,                 1.0756,                 1.1846,                0.73569,                0.76348,                0.72701,                 0.5286,                0.74818,                0.77673,                0.74084,                0.49211,                 1.0499,                0.74067,                 1.2712,                  1.286,              0.0081619,              0.0080076,              0.0080076
                      4,                0.90116,                 0.6028,                 1.0337,                 1.1949,                0.76534,                0.84429,                0.81052,                0.61572,                0.77734,                   0.85,                0.81729,                0.59546,                0.86727,                0.53369,                 1.0576,                 1.0909,                0.00703,                0.00703,                0.00703
                      5,                0.86358,                0.60222,                0.92988,                 1.1645,                0.78587,                0.83361,                0.78962,                0.60419,                0.79125,                0.83933,                0.78621,                0.55887,                0.89331,                0.57693,                 0.9808,                 1.1156,                0.00703,                0.00703,                0.00703
                      6,                0.80638,                0.57917,                0.89037,                 1.1451,                0.78551,                0.87369,                0.81267,                0.65124,                0.79073,                0.86857,                0.80349,                0.59774,                0.77147,                0.48602,                 0.9151,                 1.0147,                0.00604,                0.00604,                0.00604
                      7,                0.74314,                0.53432,                0.81471,                 1.1023,                 0.8079,                0.87117,                0.84028,                0.67416,                0.81983,                0.87107,                0.83944,                0.63078,                0.72868,                0.46861,                0.86191,                 0.9994,                0.00505,                0.00505,                0.00505
                      8,                0.69117,                0.51781,                 0.7619,                 1.0863,                0.79409,                0.91452,                0.84495,                0.70264,                0.80513,                0.92143,                0.84461,                0.63996,                0.65595,                0.43666,                0.82881,                0.93741,                0.00406,                0.00406,                0.00406
                      9,                0.63977,                0.47928,                0.70457,                  1.056,                0.81214,                0.88857,                0.84371,                0.71611,                0.81372,                0.89238,                0.84748,                0.65003,                0.63718,                0.42785,                 0.7438,                0.94167,                0.00307,                0.00307,                0.00307
                     10,                0.59079,                0.44817,                0.66159,                 1.0296,                0.84212,                0.87286,                0.85939,                0.74384,                0.85375,                0.87563,                0.85946,                0.66282,                0.57055,                0.41629,                0.69969,                0.89388,                0.00208,                0.00208,                0.00208
