                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4363,                 1.0265,                  1.529,                 1.5644,                0.34654,                0.37857,                 0.2972,                0.18117,                0.33477,                0.36571,                0.27805,                0.10807,                 1.7948,                 1.5857,                 5.4493,                 2.0289,               0.070139,              0.0033179,              0.0033179
                      2,                 1.3505,                0.86517,                 1.2685,                 1.4855,                0.70988,                0.72707,                0.69895,                0.46228,                0.71338,                 0.7467,                0.71347,                0.45955,                 1.3536,                0.86928,                 1.7436,                 1.5258,                0.03948,              0.0059928,              0.0059928
                      3,                 1.2039,                0.74957,                 1.1347,                 1.3858,                0.71952,                0.64571,                0.64278,                0.35686,                 0.7706,                0.69714,                0.68445,                0.34748,                 1.6573,                 1.0874,                 1.4066,                 1.7861,              0.0081619,              0.0080076,              0.0080076
