                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5464,                  2.553,                 1.9298,                 1.2844,                0.61374,                0.66054,                0.60507,                0.30657,                 0.4367,                0.42714,                0.26631,                0.07486,                 1.6197,                  2.192,                 1.8688,                 1.3896,             0.00066358,             0.00066358,             0.00066358
                      2,                  1.464,                 2.1281,                 1.4856,                 1.2131,                0.57157,                0.64036,                0.58625,                 0.2966,                0.35879,                0.29571,                0.19818,                0.05699,                  1.632,                 2.1659,                 1.6854,                 1.4143,              0.0012644,              0.0012644,              0.0012644
                      3,                 1.3984,                 1.9797,                   1.35,                 1.1982,                0.58125,                0.68571,                0.62073,                0.35197,                0.53661,                0.55286,                0.46766,                0.16269,                 1.4635,                 1.5527,                 1.4418,                 1.3065,              0.0017992,              0.0017992,              0.0017992
                      4,                 1.3538,                 1.8308,                 1.2526,                  1.169,                0.71003,                   0.78,                0.72614,                0.48454,                0.66699,                0.65143,                0.59897,                0.28456,                 1.1579,                 1.3428,                 1.4116,                 1.1589,               0.001703,               0.001703,               0.001703
                      5,                 1.2777,                 1.6979,                 1.1531,                 1.1436,                0.71593,                0.79208,                0.70552,                0.39471,                0.39613,                0.43286,                0.24061,                0.10192,                 1.4741,                   2.21,                 1.2084,                 1.3029,               0.001703,               0.001703,               0.001703
                      6,                 1.2105,                 1.6064,                  1.105,                  1.121,                  0.626,                0.73648,                0.67534,                 0.4621,                0.61484,                0.67728,                0.63696,                0.31578,                 1.0803,                 1.0873,                 1.1556,                 1.1082,               0.001604,               0.001604,               0.001604
                      7,                 1.1339,                 1.4882,                 1.0569,                 1.0947,                0.72979,                0.85857,                0.79061,                0.56983,                0.65395,                0.70429,                0.61013,                0.23822,                0.98476,                 1.1489,                 0.9758,                 1.0653,               0.001505,               0.001505,               0.001505
                      8,                 1.0711,                 1.4382,                0.99283,                 1.0684,                0.74563,                0.82913,                0.75685,                0.54575,                0.69923,                0.75389,                0.69305,                0.38307,                 1.0403,                0.94537,                0.98752,                 1.1024,               0.001406,               0.001406,               0.001406
                      9,                 1.0377,                 1.3553,                0.95329,                 1.0678,                0.74932,                0.82571,                0.80153,                0.60057,                 0.7493,                0.78564,                0.77103,                0.44669,                0.92716,                0.91177,                0.91121,                   1.06,               0.001307,               0.001307,               0.001307
                     10,                0.97446,                 1.2962,                0.92001,                 1.0467,                0.76609,                0.85714,                0.80276,                0.63231,                0.73449,                0.79433,                0.75426,                0.41349,                0.84354,                 0.8541,                0.85918,                 1.0334,               0.001208,               0.001208,               0.001208
                     11,                 0.8909,                0.98444,                0.82366,                 1.0501,                0.75491,                0.85571,                0.79897,                0.59983,                0.72074,                   0.79,                 0.7216,                0.42696,                0.89176,                0.99414,                0.88761,                 1.0384,               0.001109,               0.001109,               0.001109
                     12,                0.85102,                0.89711,                0.79551,                 1.0339,                 0.7991,                0.86714,                0.81772,                0.62572,                0.74651,                0.80353,                0.73284,                0.43907,                0.83548,                0.93566,                0.82095,                 1.0209,                0.00101,                0.00101,                0.00101
                     13,                 0.8129,                0.87587,                0.76721,                 1.0164,                0.73527,                0.88857,                0.82287,                0.65065,                0.75718,                0.84571,                0.80784,                0.50971,                0.75255,                0.66745,                0.79792,                0.98823,               0.000911,               0.000911,               0.000911
                     14,                0.77611,                0.83206,                0.73836,                 1.0048,                0.76036,                0.89286,                0.83328,                0.66035,                0.75941,                0.88714,                0.82121,                0.52996,                 0.7627,                0.67805,                0.79309,                0.99832,               0.000812,               0.000812,               0.000812
                     15,                 0.7422,                0.79731,                0.71666,                 0.9932,                0.78655,                   0.89,                0.83934,                0.67964,                0.78931,                0.87236,                 0.8242,                0.53242,                0.71377,                0.64969,                0.76308,                0.97695,               0.000713,               0.000713,               0.000713
                     16,                0.72229,                0.74287,                0.68815,                0.98878,                0.79392,                0.88286,                 0.8366,                0.68543,                0.78441,                   0.88,                0.83054,                 0.5265,                0.67624,                0.61258,                0.73602,                0.96817,               0.000614,               0.000614,               0.000614
                     17,                0.68632,                0.69844,                0.67818,                 0.9683,                0.79692,                0.88857,                0.83908,                0.68559,                0.79377,                0.88714,                0.82719,                0.54609,                0.70844,                0.62775,                0.71894,                 0.9802,               0.000515,               0.000515,               0.000515
                     18,                0.65332,                0.67544,                0.64062,                0.95771,                 0.7765,                0.89286,                0.83126,                0.69519,                 0.7697,                0.86286,                0.81054,                  0.545,                0.66764,                0.70479,                0.72469,                0.96235,               0.000416,               0.000416,               0.000416
                     19,                0.63067,                0.63685,                0.62275,                0.95912,                0.79338,                0.90508,                0.85002,                0.71703,                 0.8023,                0.89857,                0.84699,                0.57573,                0.62481,                0.55001,                0.68856,                0.95096,               0.000317,               0.000317,               0.000317
                     20,                0.59969,                 0.6214,                0.60474,                0.94628,                 0.8071,                0.90851,                0.85677,                0.72731,                0.80571,                0.90641,                0.84766,                0.58237,                0.61682,                 0.5769,                0.66042,                0.95568,               0.000218,               0.000218,               0.000218
