                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4363,                 1.0265,                  1.529,                 1.5644,                0.34654,                0.37857,                 0.2972,                0.18117,                0.33477,                0.36571,                0.27805,                0.10807,                 1.7948,                 1.5857,                 5.4493,                 2.0289,               0.070139,              0.0033179,              0.0033179
                      2,                 1.3505,                0.86517,                 1.2685,                 1.4855,                0.70988,                0.72707,                0.69895,                0.46228,                0.71338,                 0.7467,                0.71347,                0.45955,                 1.3536,                0.86928,                 1.7436,                 1.5258,                0.03948,              0.0059928,              0.0059928
                      3,                 1.2039,                0.74957,                 1.1347,                 1.3858,                0.71952,                0.64571,                0.64278,                0.35686,                 0.7706,                0.69714,                0.68445,                0.34748,                 1.6573,                 1.0874,                 1.4066,                 1.7861,              0.0081619,              0.0080076,              0.0080076
                      4,                 1.0591,                0.66105,                 1.0026,                 1.2903,                0.76616,                0.76857,                0.75515,                0.56212,                0.77969,                0.78286,                0.76895,                0.50686,                 0.9961,                0.67827,                 1.1134,                 1.1987,                0.00703,                0.00703,                0.00703
                      5,                 1.0219,                0.69843,                0.95647,                 1.2689,                0.73164,                0.83286,                0.75538,                0.55452,                 0.7616,                0.86429,                0.78205,                0.53934,                 1.0159,                0.62298,                 1.0494,                  1.207,                0.00703,                0.00703,                0.00703
                      6,                0.96558,                0.62089,                0.91318,                  1.245,                0.78193,                0.84009,                0.80363,                0.59466,                0.79922,                0.85866,                 0.8124,                 0.5933,                0.92759,                0.52667,                0.90043,                 1.1262,                0.00604,                0.00604,                0.00604
                      7,                0.86759,                 0.5855,                0.84164,                 1.1864,                0.80217,                0.82714,                0.82708,                0.64177,                0.80299,                0.84571,                0.83643,                0.62155,                0.84926,                0.53035,                0.90117,                 1.0891,                0.00505,                0.00505,                0.00505
                      8,                0.83663,                 0.5849,                0.82271,                 1.1758,                0.79925,                0.81571,                0.79573,                0.63014,                0.78574,                0.86571,                0.80344,                0.57403,                0.84604,                0.54583,                0.89959,                 1.1132,                0.00406,                0.00406,                0.00406
                      9,                 0.7689,                0.55036,                0.76404,                 1.1345,                0.79906,                0.85714,                0.82599,                0.66393,                 0.7958,                0.86294,                0.82692,                0.62961,                0.74498,                0.49822,                 0.8097,                 1.0081,                0.00307,                0.00307,                0.00307
                     10,                0.71458,                0.51724,                0.72407,                 1.1088,                0.78524,                0.87286,                0.82628,                0.69111,                0.79942,                0.87113,                0.83065,                0.64703,                0.65954,                0.46562,                0.75678,                0.97301,                0.00208,                0.00208,                0.00208
