                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.59777,                0.57619,                0.66566,                0.98115,                0.84123,                0.88559,                0.86271,                0.74613,                0.84522,                0.88935,                0.86292,                0.68611,                0.57971,                0.40205,                 0.6971,                0.91187,               0.007723,               0.007723,               0.007723
                     26,                0.59847,                0.59191,                0.66006,                0.98089,                0.80844,                0.90429,                0.84176,                0.73074,                0.81355,                   0.91,                 0.8457,                 0.6697,                0.58866,                 0.4073,                0.70142,                0.92156,               0.007624,               0.007624,               0.007624
                     27,                0.58437,                0.58279,                0.64846,                0.97971,                 0.8156,                0.90989,                0.84817,                0.73192,                0.82192,                 0.9165,                0.84947,                0.67179,                0.57504,                0.43317,                0.69479,                0.90076,               0.007525,               0.007525,               0.007525
                     28,                0.58061,                0.58032,                0.65397,                0.97481,                0.81798,                0.89143,                0.86454,                 0.7372,                0.83307,                0.89114,                0.86998,                0.69396,                0.58635,                0.38829,                0.68956,                0.91721,               0.007426,               0.007426,               0.007426
                     29,                0.58628,                0.56465,                 0.6465,                0.97225,                0.79589,                0.93027,                0.85095,                 0.7365,                0.81918,                0.91903,                0.85633,                0.68059,                0.56733,                0.38472,                0.64715,                0.92547,               0.007327,               0.007327,               0.007327
                     30,                0.57668,                0.55312,                0.63344,                0.97501,                0.81537,                0.87697,                0.88046,                0.75974,                0.82291,                0.90571,                0.88857,                0.70987,                0.55985,                0.39855,                0.69545,                0.89403,               0.007228,               0.007228,               0.007228
                     31,                0.58025,                0.56276,                0.65228,                0.97462,                0.80984,                   0.93,                0.86684,                0.75152,                0.81169,                0.93143,                0.86639,                0.68908,                0.54335,                0.38005,                 0.6622,                0.88619,               0.007129,               0.007129,               0.007129
                     32,                 0.5746,                0.57405,                0.62851,                0.97559,                0.81244,                0.91857,                0.87078,                0.76264,                0.81897,                0.92571,                0.87502,                 0.6983,                0.53931,                  0.388,                0.64605,                0.88897,                0.00703,                0.00703,                0.00703
                     33,                0.56742,                 0.5485,                0.61533,                0.96823,                0.83431,                0.89429,                0.86677,                 0.7567,                0.84264,                    0.9,                0.87064,                0.69914,                0.55122,                0.39143,                0.65051,                0.89524,               0.006931,               0.006931,               0.006931
                     34,                0.55443,                0.57558,                0.61982,                0.96574,                0.81847,                 0.9082,                0.85787,                0.74901,                0.84128,                0.90286,                0.86948,                0.69113,                0.54534,                0.40137,                0.66805,                0.88105,               0.006832,               0.006832,               0.006832
                     35,                0.55162,                0.57102,                0.61653,                 0.9678,                0.85585,                0.89286,                0.86249,                  0.743,                0.86016,                0.89714,                0.86289,                0.68603,                0.56564,                0.39008,                0.65157,                0.91638,               0.006733,               0.006733,               0.006733
                     36,                0.55348,                0.55506,                0.62025,                0.96039,                0.83203,                0.90579,                0.87635,                0.76665,                0.83044,                0.93571,                0.88107,                0.71042,                0.54663,                0.37394,                0.63999,                0.90026,               0.006634,               0.006634,               0.006634
